datetime_x,filename_x,file_url_x,SCEDTimeStamp,RepeatedHourFlag,SystemLambda,datetime_y,filename_y,file_url_y,SYSTEM_WIDE,LZ_SOUTH_HOUSTON,LZ_WEST,LZ_NORTH,DSTFlag
,,,2020-03-30 21:25:00.000000,,,2020-03-30 21:38:06.858998,cdr.00013071.0000000000000000.20200330.213044915.WPP5MINAVGACTNP4733_csv.zip,http://mis.ercot.com/misdownload/servlets/mirDownload?mimic_duns=000000000&doclookupId=707708523,10551.26,1314.93,8911.49,324.84,N
2020-03-30 21:38:03.314466,cdr.00013114.0000000000000000.20200330.213019072.SCEDSYSLAMBDANP6322_20200330_213016_csv.zip,http://mis.ercot.com/misdownload/servlets/mirDownload?mimic_duns=000000000&doclookupId=707708045,2020-03-30 21:30:00.000000,N,17.696575,2020-03-30 21:38:06.858998,cdr.00013071.0000000000000000.20200330.213543650.WPP5MINAVGACTNP4733_csv.zip,http://mis.ercot.com/misdownload/servlets/mirDownload?mimic_duns=000000000&doclookupId=707708931,10624.51,1338.76,8939.83,345.92,N
2020-03-30 21:38:03.314466,cdr.00013114.0000000000000000.20200330.213519098.SCEDSYSLAMBDANP6322_20200330_213516_csv.zip,http://mis.ercot.com/misdownload/servlets/mirDownload?mimic_duns=000000000&doclookupId=707708698,2020-03-30 21:35:00.000000,N,19.139362,,,,,,,,
2020-03-30 21:38:03.314466,cdr.00013114.0000000000000000.20200330.213728653.SCEDSYSLAMBDANP6322_20200330_213725_csv.zip,http://mis.ercot.com/misdownload/servlets/mirDownload?mimic_duns=000000000&doclookupId=707708946,2020-03-30 21:37:00.000000,N,19.270058,,,,,,,,
